station,year,month,wdsp,wdsp_ms
KNOCK AIRPORT,1996,8,8.3,4.2698852
KNOCK AIRPORT,1996,12,9.4,4.8357736000000004
KNOCK AIRPORT,1997,1,8.0,4.115552
KNOCK AIRPORT,1997,2,15.0,7.71666
KNOCK AIRPORT,1997,3,11.3,5.8132172
KNOCK AIRPORT,1997,4,7.8,4.0126632
KNOCK AIRPORT,1997,5,8.5,4.372774
KNOCK AIRPORT,1997,6,9.9,5.0929956
KNOCK AIRPORT,1997,7,8.6,4.4242184
KNOCK AIRPORT,1997,8,9.0,4.629996
KNOCK AIRPORT,1997,9,9.3,4.7843292
KNOCK AIRPORT,1997,10,8.5,4.372774
KNOCK AIRPORT,1997,11,9.0,4.629996
KNOCK AIRPORT,1997,12,11.5,5.916106
KNOCK AIRPORT,1998,1,10.7,5.5045508
KNOCK AIRPORT,1998,2,13.0,6.687772
KNOCK AIRPORT,1998,3,9.2,4.7328848
KNOCK AIRPORT,1998,4,9.2,4.7328848
KNOCK AIRPORT,1998,5,8.2,4.2184408
KNOCK AIRPORT,1998,6,8.7,4.475662799999999
KNOCK AIRPORT,1998,7,9.8,5.041551200000001
KNOCK AIRPORT,1998,8,10.1,5.1958844
KNOCK AIRPORT,1998,9,9.4,4.8357736000000004
KNOCK AIRPORT,1998,10,11.0,5.6588840000000005
KNOCK AIRPORT,1998,11,10.8,5.555995200000001
KNOCK AIRPORT,1998,12,10.9,5.6074396
KNOCK AIRPORT,1999,1,11.5,5.916106
KNOCK AIRPORT,1999,2,12.2,6.276216799999999
KNOCK AIRPORT,1999,3,11.3,5.8132172
KNOCK AIRPORT,1999,4,12.0,6.173328
KNOCK AIRPORT,1999,5,9.6,4.9386624
KNOCK AIRPORT,1999,6,8.3,4.2698852
KNOCK AIRPORT,1999,7,8.9,4.5785516
KNOCK AIRPORT,1999,8,8.3,4.2698852
KNOCK AIRPORT,1999,9,9.7,4.9901067999999995
KNOCK AIRPORT,1999,10,10.2,5.2473288
KNOCK AIRPORT,1999,11,8.5,4.372774
KNOCK AIRPORT,1999,12,11.9,6.1218836
KNOCK AIRPORT,2000,1,10.8,5.555995200000001
KNOCK AIRPORT,2000,2,13.8,7.0993272
KNOCK AIRPORT,2000,3,9.5,4.887218
KNOCK AIRPORT,2000,4,9.8,5.041551200000001
KNOCK AIRPORT,2000,5,9.3,4.7843292
KNOCK AIRPORT,2000,6,9.1,4.6814404
KNOCK AIRPORT,2000,7,7.7,3.9612188
KNOCK AIRPORT,2000,8,7.1,3.6525524
KNOCK AIRPORT,2000,9,8.1,4.1669963999999995
KNOCK AIRPORT,2000,10,12.0,6.173328
KNOCK AIRPORT,2000,11,11.6,5.9675504
KNOCK AIRPORT,2000,12,10.0,5.14444
KNOCK AIRPORT,2001,1,9.2,4.7328848
KNOCK AIRPORT,2001,2,9.2,4.7328848
KNOCK AIRPORT,2001,3,10.4,5.350217600000001
KNOCK AIRPORT,2001,4,9.9,5.0929956
KNOCK AIRPORT,2001,5,8.0,4.115552
KNOCK AIRPORT,2001,6,8.8,4.5271072000000006
KNOCK AIRPORT,2001,7,8.7,4.475662799999999
KNOCK AIRPORT,2001,8,7.8,4.0126632
KNOCK AIRPORT,2001,9,9.6,4.9386624
KNOCK AIRPORT,2001,10,10.9,5.6074396
KNOCK AIRPORT,2001,11,8.6,4.4242184
KNOCK AIRPORT,2001,12,9.3,4.7843292
KNOCK AIRPORT,2002,1,12.5,6.43055
KNOCK AIRPORT,2002,2,14.4,7.4079936
KNOCK AIRPORT,2002,3,10.6,5.4531064
KNOCK AIRPORT,2002,4,10.7,5.5045508
KNOCK AIRPORT,2002,5,9.5,4.887218
KNOCK AIRPORT,2002,6,10.8,5.555995200000001
KNOCK AIRPORT,2002,7,8.2,4.2184408
KNOCK AIRPORT,2002,8,7.7,3.9612188
KNOCK AIRPORT,2002,9,7.4,3.8068856
KNOCK AIRPORT,2002,10,8.6,4.4242184
KNOCK AIRPORT,2002,11,10.5,5.401662
KNOCK AIRPORT,2002,12,9.4,4.8357736000000004
KNOCK AIRPORT,2003,1,12.0,6.173328
KNOCK AIRPORT,2003,2,11.6,5.9675504
KNOCK AIRPORT,2003,3,9.6,4.9386624
KNOCK AIRPORT,2003,4,9.1,4.6814404
KNOCK AIRPORT,2003,5,10.6,5.4531064
KNOCK AIRPORT,2003,6,9.1,4.6814404
KNOCK AIRPORT,2003,7,8.8,4.5271072000000006
KNOCK AIRPORT,2003,8,7.0,3.601108
KNOCK AIRPORT,2003,9,7.7,3.9612188
KNOCK AIRPORT,2003,10,9.0,4.629996
KNOCK AIRPORT,2003,11,10.8,5.555995200000001
KNOCK AIRPORT,2003,12,9.1,4.6814404
KNOCK AIRPORT,2004,1,9.9,5.0929956
KNOCK AIRPORT,2004,2,9.1,4.6814404
KNOCK AIRPORT,2004,3,11.6,5.9675504
KNOCK AIRPORT,2004,4,10.7,5.5045508
KNOCK AIRPORT,2004,5,8.9,4.5785516
KNOCK AIRPORT,2004,6,10.1,5.1958844
KNOCK AIRPORT,2004,7,8.1,4.1669963999999995
KNOCK AIRPORT,2004,8,8.2,4.2184408
KNOCK AIRPORT,2004,9,11.2,5.7617728
KNOCK AIRPORT,2004,10,8.6,4.4242184
KNOCK AIRPORT,2004,11,9.2,4.7328848
KNOCK AIRPORT,2004,12,11.4,5.864661600000001
KNOCK AIRPORT,2005,1,13.8,7.0993272
KNOCK AIRPORT,2005,2,9.2,4.7328848
KNOCK AIRPORT,2005,3,9.7,4.9901067999999995
KNOCK AIRPORT,2005,4,9.7,4.9901067999999995
KNOCK AIRPORT,2005,5,9.4,4.8357736000000004
KNOCK AIRPORT,2005,6,8.6,4.4242184
KNOCK AIRPORT,2005,7,7.7,3.9612188
KNOCK AIRPORT,2005,8,8.2,4.2184408
KNOCK AIRPORT,2005,9,9.7,4.9901067999999995
KNOCK AIRPORT,2005,10,10.1,5.1958844
KNOCK AIRPORT,2005,11,9.6,4.9386624
KNOCK AIRPORT,2005,12,8.9,4.5785516
KNOCK AIRPORT,2006,1,9.7,4.9901067999999995
KNOCK AIRPORT,2006,2,8.4,4.3213296
KNOCK AIRPORT,2006,3,9.6,4.9386624
KNOCK AIRPORT,2006,4,9.4,4.8357736000000004
KNOCK AIRPORT,2006,5,10.0,5.14444
KNOCK AIRPORT,2006,6,7.6,3.9097744
KNOCK AIRPORT,2006,7,7.5,3.85833
KNOCK AIRPORT,2006,8,8.8,4.5271072000000006
KNOCK AIRPORT,2006,9,9.0,4.629996
KNOCK AIRPORT,2006,10,9.3,4.7843292
KNOCK AIRPORT,2006,11,10.1,5.1958844
KNOCK AIRPORT,2006,12,10.9,5.6074396
KNOCK AIRPORT,2007,1,12.4,6.3791056
KNOCK AIRPORT,2007,2,9.6,4.9386624
KNOCK AIRPORT,2007,3,10.5,5.401662
KNOCK AIRPORT,2007,4,7.8,4.0126632
KNOCK AIRPORT,2007,5,9.1,4.6814404
KNOCK AIRPORT,2007,6,8.0,4.115552
KNOCK AIRPORT,2007,7,7.8,4.0126632
KNOCK AIRPORT,2007,8,8.8,4.5271072000000006
KNOCK AIRPORT,2007,9,8.3,4.2698852
KNOCK AIRPORT,2007,10,8.3,4.2698852
KNOCK AIRPORT,2007,11,9.4,4.8357736000000004
KNOCK AIRPORT,2007,12,12.6,6.4819944
KNOCK AIRPORT,2008,1,11.8,6.070439200000001
KNOCK AIRPORT,2008,2,11.5,5.916106
KNOCK AIRPORT,2008,3,12.5,6.43055
KNOCK AIRPORT,2008,4,9.9,5.0929956
KNOCK AIRPORT,2008,5,8.8,4.5271072000000006
KNOCK AIRPORT,2008,6,8.9,4.5785516
KNOCK AIRPORT,2008,7,9.3,4.7843292
KNOCK AIRPORT,2008,8,8.8,4.5271072000000006
KNOCK AIRPORT,2008,9,8.6,4.4242184
KNOCK AIRPORT,2008,10,10.8,5.555995200000001
KNOCK AIRPORT,2008,11,10.1,5.1958844
KNOCK AIRPORT,2008,12,9.5,4.887218
KNOCK AIRPORT,2009,1,10.8,5.555995200000001
KNOCK AIRPORT,2009,2,8.3,4.2698852
KNOCK AIRPORT,2009,3,11.4,5.864661600000001
KNOCK AIRPORT,2009,4,9.4,4.8357736000000004
KNOCK AIRPORT,2009,5,11.0,5.6588840000000005
KNOCK AIRPORT,2009,6,8.1,4.1669963999999995
KNOCK AIRPORT,2009,7,8.9,4.5785516
KNOCK AIRPORT,2009,8,10.4,5.350217600000001
KNOCK AIRPORT,2009,9,8.8,4.5271072000000006
KNOCK AIRPORT,2009,10,8.8,4.5271072000000006
KNOCK AIRPORT,2009,11,10.9,5.6074396
KNOCK AIRPORT,2009,12,8.6,4.4242184
KNOCK AIRPORT,2010,1,8.5,4.372774
KNOCK AIRPORT,2010,2,6.8,3.4982192
KNOCK AIRPORT,2010,3,8.8,4.5271072000000006
KNOCK AIRPORT,2010,4,8.1,4.1669963999999995
KNOCK AIRPORT,2010,5,8.2,4.2184408
KNOCK AIRPORT,2010,6,8.1,4.1669963999999995
KNOCK AIRPORT,2010,7,9.5,4.887218
KNOCK AIRPORT,2010,8,8.5,4.372774
KNOCK AIRPORT,2010,9,9.2,4.7328848
KNOCK AIRPORT,2010,10,8.9,4.5785516
KNOCK AIRPORT,2010,11,9.0,4.629996
KNOCK AIRPORT,2010,12,6.7,3.4467748
KNOCK AIRPORT,2011,1,7.7,3.9612188
KNOCK AIRPORT,2011,2,10.0,5.14444
KNOCK AIRPORT,2011,3,7.3,3.7554412
KNOCK AIRPORT,2011,4,8.8,4.5271072000000006
KNOCK AIRPORT,2011,5,13.8,7.0993272
KNOCK AIRPORT,2011,6,8.6,4.4242184
KNOCK AIRPORT,2011,7,7.5,3.85833
KNOCK AIRPORT,2011,8,7.5,3.85833
KNOCK AIRPORT,2011,9,12.3,6.3276612000000005
KNOCK AIRPORT,2011,10,11.3,5.8132172
KNOCK AIRPORT,2011,11,11.8,6.070439200000001
KNOCK AIRPORT,2011,12,13.1,6.7392164
KNOCK AIRPORT,2012,1,12.4,6.3791056
KNOCK AIRPORT,2012,2,10.7,5.5045508
KNOCK AIRPORT,2012,3,9.6,4.9386624
KNOCK AIRPORT,2012,4,9.2,4.7328848
KNOCK AIRPORT,2012,5,8.4,4.3213296
KNOCK AIRPORT,2012,6,8.5,4.372774
KNOCK AIRPORT,2012,7,8.0,4.115552
KNOCK AIRPORT,2012,8,9.1,4.6814404
KNOCK AIRPORT,2012,9,9.7,4.9901067999999995
KNOCK AIRPORT,2012,10,7.6,3.9097744
KNOCK AIRPORT,2012,11,8.6,4.4242184
KNOCK AIRPORT,2012,12,9.9,5.0929956
KNOCK AIRPORT,2013,1,10.1,5.1958844
KNOCK AIRPORT,2013,2,10.3,5.2987732
KNOCK AIRPORT,2013,3,10.3,5.2987732
KNOCK AIRPORT,2013,4,11.5,5.916106
KNOCK AIRPORT,2013,5,11.1,5.7103284
KNOCK AIRPORT,2013,6,8.4,4.3213296
KNOCK AIRPORT,2013,7,6.7,3.4467748
KNOCK AIRPORT,2013,8,8.5,4.372774
KNOCK AIRPORT,2013,9,9.4,4.8357736000000004
KNOCK AIRPORT,2013,10,9.3,4.7843292
KNOCK AIRPORT,2013,11,7.8,4.0126632
KNOCK AIRPORT,2013,12,12.3,6.3276612000000005
KNOCK AIRPORT,2014,1,10.8,5.555995200000001
KNOCK AIRPORT,2014,2,12.5,6.43055
KNOCK AIRPORT,2014,3,10.1,5.1958844
KNOCK AIRPORT,2014,4,9.1,4.6814404
KNOCK AIRPORT,2014,5,8.6,4.4242184
KNOCK AIRPORT,2014,6,7.1,3.6525524
KNOCK AIRPORT,2014,7,7.6,3.9097744
KNOCK AIRPORT,2014,8,9.3,4.7843292
KNOCK AIRPORT,2014,9,6.1,3.1381083999999997
KNOCK AIRPORT,2014,10,9.9,5.0929956
KNOCK AIRPORT,2014,11,8.0,4.115552
KNOCK AIRPORT,2014,12,11.0,5.6588840000000005
KNOCK AIRPORT,2015,1,12.6,6.4819944
KNOCK AIRPORT,2015,2,9.5,4.887218
KNOCK AIRPORT,2015,3,11.6,5.9675504
KNOCK AIRPORT,2015,4,8.3,4.2698852
KNOCK AIRPORT,2015,5,10.9,5.6074396
KNOCK AIRPORT,2015,6,9.1,4.6814404
KNOCK AIRPORT,2015,7,8.9,4.5785516
KNOCK AIRPORT,2015,8,8.2,4.2184408
KNOCK AIRPORT,2015,9,8.3,4.2698852
KNOCK AIRPORT,2015,10,7.7,3.9612188
KNOCK AIRPORT,2015,11,11.0,5.6588840000000005
KNOCK AIRPORT,2015,12,12.6,6.4819944
KNOCK AIRPORT,2016,1,11.2,5.7617728
KNOCK AIRPORT,2016,2,10.8,5.555995200000001
KNOCK AIRPORT,2016,3,9.5,4.887218
KNOCK AIRPORT,2016,4,9.3,4.7843292
KNOCK AIRPORT,2016,5,8.2,4.2184408
KNOCK AIRPORT,2016,6,7.6,3.9097744
KNOCK AIRPORT,2016,7,8.2,4.2184408
KNOCK AIRPORT,2016,8,9.3,4.7843292
KNOCK AIRPORT,2016,9,9.3,4.7843292
KNOCK AIRPORT,2016,10,7.9,4.064107600000001
KNOCK AIRPORT,2016,11,7.0,3.601108
